uid,caption
346904_mscoco_0,A bus driving down a road by a building.
416478_mscoco_2,A woman and two men looking at a laptop screen.
155051_mscoco_0,a close of up a clock that makes the moon look small next to it
135161_mscoco_3,A bathroom being renovated featuring a toilette and shower.
280036_mscoco_2,A boy in black sweater standing on beach flying a kite.
439969_mscoco_0,A rusted pink fire hydrant in the grass
292617_mscoco_0,A living room filled with furniture and a fire place beneath a flat screen TV.
248238_mscoco_3,"There is a hot dog bun with carrots, mayo, and bacon."
285068_mscoco_4,A red and blue chopper is hovering in the blue sky.
260967_mscoco_4,A light colored cat sits in the window.
461973_mscoco_2,A train driving under a bridge and beside a platform with people waiting.
575921_mscoco_2,a indian man standing on a corner with a blue shirt on holding a cellphone
413044_mscoco_0,The woman is eating her doughnut while sitting out on the bench.
117112_mscoco_1,"A woman standing up playing wii with a man sitting by her side, also playing"
450247_mscoco_1,A cat stretching out in a blue briefcase.
111325_mscoco_2,A small child poses for a picture next to a herd of cows.
26941_mscoco_4,A green cart with old luggage on it standing by.
28290_mscoco_2,there are people stsnding on thr beavh wth a surf bard
46941_mscoco_1,a little boy toddler sitting down down playing on a cellphone
