uid,caption
000000000042,a shoe rack with some shoes and a dog sleeping on them
000000000074,a white dog is sleeping on a street and a bicycle
000000000133,A bed sits on top of a dresser and a desk.
000000000143,Eight birds perch on a branch on an overcast day.
000000000164,a small kitchen with a lot of filled up shelves
000000000192,A group of baseball players is crowded at the mound.
000000000196,"A table layed out with food such as, salad, steamed peas and carrots, steamed corn, and bread rolls."
000000000208,a faucet running next to a dinosuar holding a toothbrush
000000000241,A man standing on a piece of equipment for a video game while holding the remote as four other people look on
000000000257,Several people walking on a sidewalk near a large arch with figures on it.
000000000294,a man poses in front of some pots and pans
000000000338,An elderly man and woman looking around in a kitchen.
000000000357,A group of men on a field playing baseball.
000000000360,"An outside photo of signs, and lamp poles among the trees."
000000000397,Baked pizza with herbs displayed on serving tray at table.
000000000400,The dog is riding on the boat in the water.
000000000415,A guy jumping with a tennis racket in his hand.
000000000459,A man wearing a suit is taking a self portrait with a camera.
000000000472,An airplane flying over a body of water that has islands in it.
000000000474,The boy is bent over with a baseball glove.
000000000488,A man getting ready to bunt the baseball
000000000502,a black bear that is standing next to water
000000000520,Afternoon at a dock with seagulls flying overhead.
000000000536,A group of beautiful young women standing around together.
000000000544,A man swinging a bat at a baseball on a field.
000000000564,There is no image here to provide a description for.
000000000569,A man is flying a kite near some steps
000000000589,A man standing on a lush green field holding a Frisbee.
000000000599,A cat on a leather chair next to remotes
000000000623,A woman hods a stuffed pig close to her
000000000626,A brick building with many windows and a clock tower in the middle of the building.
000000000636,Toilet with indefinite end because of bright light
000000000641,A large passenger bus going down a city street.
000000000661,A chicken sandwich in a wrapper near a cell phone.
000000000675,A cat licking drink out of a cup that is sitting on a table.
000000000692,A woman is taking a picture of herself and a baby in the mirror.
000000000693,Little girl standing on a skate board in a sporting goods department.
000000000699,a blurry image of a street light with a red streak on the picture
000000000711,A well furnished living room with couches and a wooden table.
000000000715,"There are bananas, pineapples, oranges, sandwiches, and drinks at the stand."
000000000724,An upside down stop sign by the road.
000000000730,a bus driving down the street next to some buildings and trees
000000000757,A group of elephants walking in muddy water.
000000000761,A group of people that are wearing snow skis and holding poles.
000000000772,A herd of sheep standing on a lush green field.
000000000775,A parked motorcycle's rear view mirror next to a wooden pole.
000000000785,a person on skis makes her way through the snow
000000000802,"A kitchen with a refrigerator, stove and oven with cabinets."
000000000810,On the table are a sandwich and a sucker.
000000000872,A couple of baseball player standing on a field.
000000000873,"Buildings surrounding two tall, skinny towers in a busy area."
000000000885,A man holding a tennis racket playing tennis.
000000000923,A train riding on a track near a platform.
000000000939,The bathroom has double sinks and there is a television mounted.
000000000962,A guy holding a tennis ball in one hand with a tennis racket in his other hand.
000000000969,Man and boy playing catch in the back yard
000000000974,A few people riding on an elephants back.
000000000985,A yellow bus pulled up to the curb by a hedge
000000000999,A young man kneeling on top of a base.
000000001000,a large family poses for picture on tennis court
000000001029,A airplane flies into the clouds with a barbed wire fence in the foreground.
000000001063,A giraffe walking across a lush green field.
000000001064,A close up of a plate of food containing broccoli.
000000001083,Three cows walking in the grass near trees.
000000001089,a painting of the president sitting with his hands folded in front of his face
000000001103,A lot if birds are standing at the beach shore
000000001138,a room showing living room and fire in it
000000001146,A man in a green tie with his eyes closed.
000000001149,Men in uniforms and suits are looking at bomb-type weapons.
000000001164,A very big pretty elephant laying down in the water.
000000001171,An old train has the number seventy one on the front.
000000001176,A reflection of a skateboarder is performing a rail.
000000001180,A woman in a silly hat cuts the cake.
000000001205,An oriental style room with tatami floor coverings.
000000001228,A picture of some animals that are eating off of the ground.
000000001244,A man sitting under an umbrella next to a body of water.
000000001268,A waterway under a bridge with people sitting down and a woman taking a photo.
000000001270,Two young baseball players and one adult.
000000001290,a close up of two children at a table with a cake
000000001292,A woman sitting in a chair examines a scroll.
000000001340,A vase is shown on an end table.
000000001347,"A laptop computer sits next to two computer mice, a keyboard, and a square computer monitor."
000000001369,A person with a surfboard stands at the water.
000000001374,a yellow blue and purple train sitting on the track
000000001393,A bouquet of roses in a red walled road.
000000001442,A polar bear standing on some rocks in a zoo exhibit.
000000001490,A man with a wet suit on standing on a surfboard in the water.
000000001503,A computer on a desk next to a laptop.
000000001532,Cars and trucks driving under the underpass with street signs directing them where to go
000000001554,A herd of sheep walking across a field of grass.
000000001561,Small bird sitting on a skateboard posed in front of dark blue background cloth.
000000001563,A person is standing in front of a camera and ready for a game.
000000001584,a red double decker bus that is in the middle of the road
000000001590,A cow sits in a truck with hay barrels in it.
000000001591,A television with the reflection of a woman at a table.
000000001626,Two people play a game on a Wii.
000000001647,A pair of scissors and crumpled paper sitting on a table.
000000001667,A girl in pink shirt with fork in her mouth.
000000001668,A professional baseball player is holding a bat.
000000001675,A black cat is sitting on a metal platform.
000000001682,A boat in the distance on a clear lake.
000000001700,A man riding a snow board on top of a snow covered slope.
000000001779,An intersection with a street sign and a building and palm trees in the background.
000000001799,A truck is parked on the side of a street in a city.
000000001803,A very modern looking bathroom with blue floor tiles.
000000001818,a baby zebra nursing from an adult zebra
000000001840,There are many decorative umbrellas hanging up.
000000001841,Woman wearing a hat wearing red lipstick and a tie.
000000001852,"A piece of white hair, scissors and a rose."
000000001856,A man in a wetsuit riding a wave on a surfboard.
000000001869,a young elephant walks with adult elephants along a dirt path
000000001948,A man in camouflage holds up a large dead turkey.
000000001960,Boys playing soccer on the other side of a fence.
000000001993,A bedroom with a bed and small table near by.
000000002006,a big purple bus parked in a parking spot
000000002124,A truck with a horse trailer attached to it with horses on top of it.
000000002139,The bike is parked in the messy room by the bed.
000000002142,a person sitting on a bench and feeding birds
000000002153,A baseball player with a bat in his hand as the pitcher gets ready to throw the ball.
000000002154,A homeless persons shopping cart filled with items.
000000002157,a close up of a table with many plates of food
000000002164,A herd of sheep standing on top of a lush green field.
000000002171,some surfers and a swimmer in the water
000000002191,There is a woman in a wetsuit in the water.
000000002212,Two dogs lying on blanket sleeping on couch.
000000002225,A little girl eating a chocolate frosted donut.
000000002240,A pile of teddy bears and dolls in a toy box.
000000002255,"The large adult elephant is walking near bare, trimmed trees."
000000002261,A young man is body surfing and paddling in the water.
000000002295,A cat staring at the bottom of a brown bowl.
000000002299,A group of children standing and sitting beside each other.
000000002302,Two people are horseback riding single-file on a trail through a barren desert landscape.
000000002315,Elephants in the water and on the banks under palm trees.
000000002346,A penny behind three tiny flower vases on a wooden table.
000000002388,Clean white bathroom with brown tiled flooring in home.
000000002431,"A table with a plate, wine-filled glass, and bread, among other items"
000000002473,a person on skis is doing a twist during a jump
000000002477,A man sitting on his couch using his laptop
000000002495,"A ""squat"" style toilet made of white porcelin."
000000002525,The young woman is selling many types of cupcakes.
000000002529,A clock is shown at the top of a pole near a street.
000000002532,A person standing on skiis on the snowy slope.
000000002562,A man hitting a tennis ball with a racquet.
000000002592,A large knife is sitting in front of a mug has a skull and crossbones.
000000002613,Surfer at the top of a wave on top of a white board.
000000002640,A train moving on the tracks through a bridge over the road.
000000002684,A herd of zebras grazing on the savannah.
000000002690,An inlet filled with boats of all kinds.
000000002753,A dog holding a yellow frisbee in it's mouth.
000000002822,A traffic sign near a high grass field near a road.
000000002839,A baby girl with beautiful blue eyes standing next to a brown teddy bear.
000000002867,Several people in their ski gear are in the snow.
000000002890,The people have there skis on in the middle of the street.
000000002923,A marsh area with egrets and shrimp boats
000000002972,Two colorful passenger trains passing near a platform.
000000002985,An elephant being transported down the road on the back of a truck.
000000002988,a black white and orange cat lying on a blue chair
000000003001,A table is laid out with several different doughnuts and pastries.
000000003014,A close up of a pizza and a drink on a table.
000000003035,An airplane is parked at an airport under a blue sky.
000000003067,A kitten on a desk with an open sandwich and apple.
000000003084,A large clock at the top of a brick building of which the clock hands indicate twelve thirty.
000000003091,a white plate topped with a piece of chocolate covered cake.
000000003103,Man riding on edge of an oval ramp with a skate board.
000000003134,A transit bus making a turn at the corner of a downtown area.
000000003145,a couple of sofas i n a living room area
000000003149,An architectural structure with a large clock at the top.
000000003192,Here is a traditional Neapolitan pizza topped with spinach greens and mushrooms.
000000003209,A young girl sits on a horse wearing jockey clothes.
000000003217,A wooden bench sits beside the forest trail.
000000003244,Camera and computers set up on a desk
000000003255,A group of skiers have left a trail through the snow on the mountain.
000000003310,"A young girl eats a large hot dog covered in sauerkraut, mustard, and relish."
000000003335,A clean white toilet with the toilet seat up.
000000003337,A man with a wristband on and a cell phone in his hand.
000000003342,A train sitting on some train tracks underground.
000000003378,a person is doing a trick on a skateboard
000000003382,Group of sailors in command center with one talking on walkie talkie.
000000003425,A room with various items on the bed and nightstand
000000003466,A person in a pair of gray pants and orange tennis shoes.
000000003488,a soccer player in the process of kicking the ball
000000003553,A skateboarder is riding on boards that have been placed over grass.
000000003580,A man lounging on a sofa holding a Wii remote.
000000003590,People are walking in the rain holding umbrellas.
000000003595,There are bottles of wine and wine glasses arranged on a table
000000003661,A closeup of a group of bananas on a table
000000003703,a table covered with supplies to make banana bread with
000000003711,A black cat sitting on a hood of an old car
000000003716,a woman laying on a couch looking at a laptop
000000003742,A white vase with a fully opened red rose stands next to an overflowing bowl of apples next to a mirror on a window ledge.
000000003761,A woman in jacket with her face next to a brown horse.
000000003771,A very cute cow laying in a grassy field.
000000003786,A woman sitting on a bench with a book on her lap.
000000003794,A plate of tossed salad and a sandwich.
000000003799,a white building in front of a street sign name JORDAN.
000000003832,A white boat floating on a lake under mountains.
000000003837,A beautiful woman stands on a surfboard with friends.
000000003865,A para sailer approaching the beach on a sunny day
000000003867,Two zebras who are grazing on some grass.
000000003926,two sheep standing in the snow with one looking for food
000000003932,A sheep with a blue rope tied around his head standing next to another sheep in a red cage filled with hay.
000000003934,A young girl holding a controller playing a video game.
000000003938,The woman is playing the video game in the room.
000000003939,Three toddlers standing in the grass holding stuffed animals.
000000003947,White sheep are grazing in a green field.
000000003964,A woman wearing a mask holding a racquet
000000003983,The group of people are boarding the bus.
000000004011,Baker proudly displays her white dog cake in her kitchen
000000004021,baseball players playing on a baseball field making a home run.
000000004093,"Lot of the building, behind the fence, full of garbage"
000000004134,Two men shaking hands after a dinner speech.
000000004157,A clock on the wall up near the ceiling.
000000004175,A tennis player winds up to hit a serve to her opponent.
000000004227,Boy reaching up above his head to reach a tennis ball with his racket.
000000004243,There is a boy sitting near many baskets.
000000004246,Two young boys standing in brick paved street.
000000004256,A meal for two of broccoli and bread
000000004265,"Blue vases and potted plants sit in a window, overlooking a lawn."
000000004266,People skiing down a mountain made of artificial snow.
000000004275,A young man jumping off his skateboard while skateboarding.
000000004283,A couple of birds standing next to each other.
000000004286,A giraffe that is standing in the grass.
000000004296,this kitchen seems to be being fixed or under construction
000000004312,A man taking a picture of his meal at a diner table.
000000004359,Woman standing on platform with commuter train in background.
000000004392,A dog curled up sleeping on a bed with pillows
000000004395,A man in a shirt and tie motioning with his hand.
000000004396,a bear dressed in a robe on the table
000000004438,an image of a man jumping up in air on sidewalk
000000004495,A corner of a living room with a TV in it.
000000004497,A Mobel Preiss truck moving down the highway.
000000004554,some snowboarders and skiers in the snow on a hill
000000004576,A crowd of people standing around a pile of bikes.
000000004592,The woman is playing tennis on the court.
000000004620,A parking meter sits beside a street intersection where cars are parked.
000000004665,A woman wearing a wedding gown holding flowers is in a car with a man in a suit and tie.
000000004688,this is a man playing in a field
000000004700,A group of boys playing soccer on a field.
000000004731,A broad panorama of several people getting together.
000000004736,Baseball game with batter starting to swing at a pitch.
000000004742,A man riding a wave on a surfboard in the ocean.
000000004749,Two bananas sit in a green bowl on a counter.
000000004754,Four zebras standing in a row with wildebeest and zebra behind them.
000000004760,A set of park benches near a lamp post
000000004772,A man staring out the window at an ocean of water.
000000004795,A cat observing a computer screen next to a laptop and a cordless phone.
000000004840,a man does a trick on a skate board as a young kid looks on
000000004916,A black and white photograph of two girls looking at a bed.
000000004936,A white dish filled with lots of vegetables.
000000004972,a man holding a horse dressed like a knight
000000004975,A group of people holding umbrellas in the middle of a graduation.
000000004979,A horse statue sitting on top of a large over sized chair.
000000004980,A woman with a suitcase getting off of a train.
000000004988,a red and blue passenger bust parked at a bus station
000000005001,A group of people on the sidewalk watching two young children.
000000005032,A child standing on skiis with an older woman waves at the camera.
000000005037,A bus is traveling down the city street.
000000005038,A woman is sitting on the edge of a white bed.
000000005076,Large tree with wooden picnic bench in wilderness area
000000005105,A man rows standing on a surfboard near a dog fetching a ball in a body of water near a shoreline.
000000005107,People wait in line in order to board a bus.
000000005123,A bus parked at a stop beside a small home
000000005124,Soccer player wearing green and orange hitting soccer ball.
000000005146,A HORSE IS STANDING IN THE GREEN GRASS NEAR THE BARN
000000005154,A covered mattress is on the floor of a tent.
000000005178,The cows are standing and grazing on dry land.
000000005184,There is an image of a bear jumping on another bear.
000000005193,A group of people pose for a picture while a man holds two surfboards.
000000005213,Atv parked alongside rural roadway with trees lining landscape.
000000005225,A BABY EATING A MEAL WITH HIS TOY DRUMMER BEAR
000000005247,A younger man and an older man skiing in the forest.
000000005278,A multi-colored train is coming to a stop at a train station.
000000005314,a bath room with a toilet a sink and tiled floors
000000005325,a woman holding an umbrella walks on a sidewalk next to a woman in a wheelchair.
000000005328,A toilet with a sink and a shower area.
000000005352,A piece of pizza that is on a plate.
000000005356,A man looks out the window while at the airport.
000000005385,A batter is up to the base getting ready to swing at the ball.
000000005388,A baseball game taking place at night with players.
000000005394,A picture of a boat that looks like a car in the water.
000000005412,A beige bathroom stall with a sink and a toilet also a urinal.
000000005418,two giraffes some grass and lots of trees
000000005437,A fire hydrant with a blue jacket on top of it.
000000005476,Many people are carrying surfboards to the ocean.
000000005477,large mustard yellow commercial airplane parked in the airport
000000005486,"A photograph of living room sofa, and dining set."
000000005502,Many kites being flown in an open field.
000000005513,A little girl with her back turned flying a kite in the sky.
000000005535,A man walking down the street beside a big bus.
000000005569,A boy looks in the mirror in a public restroom.
000000005577,A cat that is sitting on a chair near a bag.
000000005595,a book of the birds of Australia and a stuffed banana in pajamas doll
000000005600,a close up of two bowls of food on a table
000000005601,three people riding in a boat at sunset
000000005635,Some graffiti is sprayed on a stop sign.
000000005652,A baby smiles and holds a cell phone up to its ear.
000000005670,a man is shown holding some scissors to his head
000000005690,A train that is going on the train tracks by a house.
000000005694,A white bird is standing in front of plants.
000000005713,Two guys sitting next to an old computer screen.
000000005724,"Plate loaded with mostly vegetables, sitting on a rough table."
000000005728,Multiple images compiled into a collage of men playing frisbee.
000000005816,A bedroom has a lamp by each side of the bed.
000000005820,A bench on a river bank in the countryside
000000005860,A cell phone resting on a glass of Pepsi.
000000005934,A baseball and a glove are sitting on a aluminum bench.
000000005961,A man is cutting a sub sandwiches while a lady put a vegetable in the bag.
000000005965,A parked motorcycle with a large stuffed animal on it.
000000005992,A small group of sheep standing together next to a building.
000000006005,a couple of giraffes that are walking around
000000006012,a yellow and red apple and some bananas
000000006019,A red fire hydrant and bicycle under a large amount of snow.
000000006028,A group of surfers in wetsuits amid ocean waves.
000000006033,"A young man standing in front of a bus, is petting the baby steer."
000000006074,A blue and white truck with pants in it's flat bed.
000000006091,"A stop sign with shadows of a hand, a square, and a hammer."
000000006153,A train coming up to an intersection of rails
000000006177,A pair of scissors lies in the open position.
000000006189,A man next to a pizza that is on a platter.
000000006211,"The left side of a clock is visible, the time is about 11:20."
000000006213,A shower curtain sits open in an empty and clean bathroom.
000000006220,A variety of food dishes are shown on display.
000000006226,a yellow white and black train riding down the train track
000000006266,A cow with a giant sore on it's side.
000000006393,A silver colored necklace with a pair of mini scissors on it.
000000006397,Gray cat lying inside of suitcase on chair.
000000006415,A butcher knife next to carrots cut to various sizes.
000000006417,A surfer curls to balance on his board atop the foamy white crest of a wave
000000006437,a white polar bear drinking water from a water source next to some rocks.
000000006471,A hitter is waiting for the pitch to be thrown
000000006473,A blue cake topped with a beach scene.
000000006484,a close up of a cake on a plate on a table
000000006497,A stone statue of an elephant near a large vase.
000000006527,A clock mounted near a city light on the road
000000006579,A service member trying to console a child.
000000006580,A crowd gathered around a person standing next to a bed.
000000006593,There are two people watching another one play tennis.
000000006614,A pile of nuts in front of some assorted fruit.
000000006662,A woman partially undressed woman in black pantyhose lies on a bed.
000000006672,A kitchen door next to a kitchen sing and counter top.
000000006673,Yellow sunflower sitting in a blue vase by a brick wall.
000000006688,Several zebras eating grass in a wildlife park
000000006701,A road under construction in the countryside.
000000006712,A man teaching a small child to play baseball.
000000006723,Row of buildings on empty street near side walk.
000000006748,A zoo keeper keeps an eye on the polar bear in his cage
000000006763,A happy man and woman pose for a picture.
000000006771,A woman in a costume speaks on a cellphone.
000000006783,A man suspended above the ocean on a knee board.
000000006789,An electric tower in front of buildings on the road.
000000006818,This picture looks like a janitors closet with buckets on the floor.
000000006845,Two cows wading through a flooded grass plain.
000000006854,The sandwich in the picture tells the student what letter it starts with.
000000006861,A plunger is sitting on a tile floor next to a toilet.
000000006864,A man that is standing with a suitcase.
000000006871,An adult polar bear is swimming in the water.
000000006874,The giraffes are standing together with the other animals outside.
000000006894,A man being kiss by a baby elephant with it's trunk.
000000006896,The man poses for a picture with the two giraffes.
000000006906,Two men wearing business suits shake hands under a canopy.
000000006921,A boy sits in bed with his Apple laptop.
000000006949,A fresh cut salad with dressing and serving tongs.
000000006954,A group of children sitting in the grass with two of them holding a Frisbee.
000000007023,The two people are playing tennis on a multi purpose court.
000000007050,"The boaters are smiling, their two boats touching in the low water near shore."
000000007072,A man doing tricks with a frisbee in front of a young lady.
000000007088,A little girl holding an umbrella in the rain.
000000007096,Two empty modern train engines face each other on urban tracks.
000000007108,An elephant is seen head on amongst other elephants.
000000007125,A road that lines the shoreline with people
000000007149,A woman with a water hose spraying a lamb.
000000007155,A suitcase full of items open in front of a wall.
000000007211,Old weathered red train boxcar with blue spray painted graffiti.
000000007214,A bathroom is shown with odd artwork on the wall.
000000007241,a duncan donut with a cup of coffee
000000007267,A gray pigeon is perched on the edge of an old gutter.
000000007274,Young man and older lady with baby eating at table.
000000007276,A bathroom sink that is under a mirror.
000000007278,A man in a wet suit riding a wave on a surf board.
000000007288,A public toilet with a lid with buttons
000000007304,A girl is hitting a ball with a tennis racket
000000007320,A person holding a wii remote near a television.
000000007325,A red fancy bus is parked by a standing man.
000000007333,A young man riding a skateboard across leaf covered ground.
000000007355,A bus is going through an intersection in a city.
000000007386,a home made three wheeled trike sitting in a driveway
000000007394,The man is walking in the rain with his umbrella up.
000000007444,An old shop with big windows and items on display.
000000007506,A giraffe is standing with his front legs apart.
000000007511,People flying a kite on a sandy beach near a body of water.
000000007522,An adult zebra and a younger zebra in Savannah
000000007556,Several gliders floating on the ocean next to an island.
000000007559,A white cup is stuffed with toothbrushes wrapped in plastic.
000000007566,There is a mom zebra and a baby zebra on a large field
000000007666,a blue train is coming down some tracks
000000007673,A surfer standing on a board in a river.
000000007682,An individual wearing a comical mustache with a serious facial expression.
000000007722,A cat is laying in the sink balled up.
000000007726,A red delivery truck driving across a rain soaked street.
000000007784,There is a colorful parachute in the sky.
000000007787,"Fresh pizza sits on plates, ready to be eaten."
000000007795,A couple of large beds in a small room.
000000007816,A person on a motor bike travels around a sharp corner.
