uid,caption
346904_mscoco_0,A bus driving down a road by a building.
416478_mscoco_2,A woman and two men looking at a laptop screen.
155051_mscoco_0,a close of up a clock that makes the moon look small next to it
135161_mscoco_3,A bathroom being renovated featuring a toilette and shower.
280036_mscoco_2,A boy in black sweater standing on beach flying a kite.
439969_mscoco_0,A rusted pink fire hydrant in the grass
292617_mscoco_0,A living room filled with furniture and a fire place beneath a flat screen TV.
248238_mscoco_3,"There is a hot dog bun with carrots, mayo, and bacon."
285068_mscoco_4,A red and blue chopper is hovering in the blue sky.
260967_mscoco_4,A light colored cat sits in the window.
461973_mscoco_2,A train driving under a bridge and beside a platform with people waiting.
575921_mscoco_2,a indian man standing on a corner with a blue shirt on holding a cellphone
413044_mscoco_0,The woman is eating her doughnut while sitting out on the bench.
117112_mscoco_1,"A woman standing up playing wii with a man sitting by her side, also playing"
450247_mscoco_1,A cat stretching out in a blue briefcase.
111325_mscoco_2,A small child poses for a picture next to a herd of cows.
26941_mscoco_4,A green cart with old luggage on it standing by.
28290_mscoco_2,there are people stsnding on thr beavh wth a surf bard
46941_mscoco_1,a little boy toddler sitting down down playing on a cellphone
467848_mscoco_1,A truck is being towed by a much smaller tow truck.
111434_mscoco_0,a number of plates of food on a table
552364_mscoco_3,A group of people at the beach in the sand.
126226_mscoco_0,A group of guys in a dugout with their gear
334050_mscoco_4,The crooked shelving is unstable and will eventually fall down.
77063_mscoco_3,A horseback rider riding his horse wildly in mid-stride.
32203_mscoco_0,There are some dirt bike riders taking a sharp turn
140582_mscoco_0,The baby birds in a next tucked up under an eave.
26025_mscoco_2,A factory is located next to a traffic light.
292456_mscoco_3,A man and a woman riding on a motorcycle are getting ready to hit the road.
460208_mscoco_0,a kitchen scene with a refrigerator that has magnets and a black oven on the wall
36936_mscoco_0,Two people play video games while sitting on a couch.
555456_mscoco_0,A person riding a snowboard on a snow covered slope.
144365_mscoco_1,A person is standing on the side of a train station.
477700_mscoco_1,A propellor boat plane hanging from the ceiling of an indoor mall
83466_mscoco_0,A man wearing skis posting for a picture at night in the snow.
298370_mscoco_2,A black vase holds an artificial bouquet of red roses.
172993_mscoco_3,A cat lays on the bed near some pillows.
452274_mscoco_4,A young man with brown hair wearing a neck tie.
179311_mscoco_3,A small airplane flies beneath stormy skies.
119828_mscoco_2,A black cat sitting on a table in front of a laptop.
173091_mscoco_3,"A carryout lunch including sandwich, fruit, and frappucino."
427341_mscoco_0,Two people wearing hats that double as umbrellas.
136841_mscoco_2,A young woman is taking a photo through a train window.
152740_mscoco_2,A herd of cows grazing in a grassy field.
312549_mscoco_4,A double street sign at a neighbourhood corner.
437609_mscoco_3,A black cow standing in the middle of a forest.
280810_mscoco_1,"A plate holds a meat pie, carrots and broccoli."
424812_mscoco_4,A person rides a horse across a field under a sunset.
9171_mscoco_4,a man riding down the road wearing some skiis and holding onto the poles in one hand
302260_mscoco_4,A dog that is laying down wearing a hat.
57460_mscoco_2,a cat is sleeping on top of a laptop keyboard
432619_mscoco_0,The container on the sink is holding flowers and a toothbrush.
538073_mscoco_3,A small wooden table with dinner set for three
278512_mscoco_4,The group of young people have deplaned in a muddy area.
490286_mscoco_3,A pot that is on the stove with some food in it.
330931_mscoco_4,A giraffe crossing a secluded road to the wilderness.
410350_mscoco_4,Two chefs look into a large mirror in a kitchen.
377802_mscoco_3,A woman in a field of grass playing with a white disc.
67412_mscoco_4,A crowd of people standing next to tall buildings flying kites.
320554_mscoco_3,A cat sits under a park bench outside.
481891_mscoco_2,A group of people collide while trying to catch a frisbee.
484351_mscoco_4,In a classroom school lunch for the school boys.
492362_mscoco_0,A man on a skateboard riding by food vendors.
2477_mscoco_1,A man sitting on his couch using his laptop
252968_mscoco_0,One train riding on the multiple train tracks side by side.
505269_mscoco_3,A white paper plate topped with two hot dogs on buns.
384993_mscoco_2,THERE ARE A LOT OF DOUGHNUTS ON THE TABLE
176778_mscoco_1,A cat in a bathroom with a tub and a toilet.
173500_mscoco_2,Two people in dresses walking with umbrellas and bags.
467297_mscoco_2,A woman that is standing near an open oven.
225518_mscoco_4,A bedroom with carpeted floors and black floral wallpaper.
24207_mscoco_3,Group of sheep on side of hill looking in distancw
363844_mscoco_0,A lot of stuffed animals that are hanging up.
50756_mscoco_3,A man lays on his surfboard and rides a small wave.
562843_mscoco_3,A view of a coffee cup and a pair of scissors sitting on a table.
528314_mscoco_4,A person skiing down a mountain kicking his leg up.
268092_mscoco_2,A couple of teddy bears placed underneath a wicker basket.
271546_mscoco_0,Two men with racquets on a tennis court.
485027_mscoco_1,Player about to serve in a tennis game on a dirt court.
559454_mscoco_4,A woman cutting a cake with a knife.
238332_mscoco_0,A colorful train engine on the railroad tracks.
298994_mscoco_2,A pallet holds a display of fresh vegetables.
306173_mscoco_0,A kitten sleep on top of papers.
54679_mscoco_2,A woman stands on a beach holding a kite.
428067_mscoco_1,A truck in a grassy field with sheep nearby.
567205_mscoco_3,A man with a car fixing a parking meter
164759_mscoco_4,a very large room with some furniture in the inside
16879_mscoco_4,there is a male frisbee player about to catch the frisbee
272635_mscoco_0,A large white bird flying over a rock cliff side.
310052_mscoco_2,Passenger trains lined up at a train stop.
200018_mscoco_3,a teddy hear sitting on top of a sign
561187_mscoco_1,A horse standing next to a tree on a dirt ground.
533201_mscoco_4,A plane is shown with vehicles around it.
103815_mscoco_3,a couple of people that are playing baseball
29465_mscoco_1,A grey bird in the middle of a snow-covered ground
32735_mscoco_1,A person on skis making a cross in the air
473632_mscoco_4,Small teddy bear sitting on the stomach of a pregnant woman.
111211_mscoco_3,A bed in a room next to a television.
546829_mscoco_3,A white dog is sitting on a wooden bench
264375_mscoco_3,A woman in an apron and a man standing by a stoplight
167347_mscoco_0,A person walks on a bridge with a kite.
53580_mscoco_0,A young man sitting on a bus up against a window.
506515_mscoco_1,a screen showing a man with laptop in his hands
109441_mscoco_3,A picture of a reflection in a building. The view is from the street.
19079_mscoco_1,A red fire hydrant on a busy city street
557059_mscoco_0,"Cauliflower, carrots, and broccoli are arranged in a vegetable bowl."
567197_mscoco_2,An old picture of a building and trucks outside the building.
94577_mscoco_2,A group of men have a discussion with one another.
270222_mscoco_2,there are many clocks on a wall with small figures
335085_mscoco_3,There are bottles in the cooler that is standing on a shelf
307323_mscoco_3,A living area with a table and chairs and various art.
166424_mscoco_0,A group of people standing on top of a snow covered ski slope.
74139_mscoco_0,A large pizza sitting on top of a table covered in cheese
378302_mscoco_4,an aerial view of trains traveling through a city.
318618_mscoco_0,A basket of oranges and a cup on a table.
323828_mscoco_4,A train going along a pair of train tracks.
210442_mscoco_2,The train making its way to a scheduled destination.
171915_mscoco_0,Two red buses are passing on the street.
555538_mscoco_0,A catcher in baseball with his arm extended.
171611_mscoco_3,"A man and his dog in a boat, on the water."
90125_mscoco_0,A little boy playing with a toy sword in a park.
258019_mscoco_4,A man is taking a bite out of a sandwich
563731_mscoco_3,"A large, green clock hanging outside an building."
67587_mscoco_0,Three giraffes are sitting on the ground.
312316_mscoco_4,a giraffe standing on dirt ground near a tree
240655_mscoco_3,A man dances on top of picnic tables while it snows.
503483_mscoco_0,A picture of an open air zone that looks incredible.
271820_mscoco_2,A green couch in a living room next to a twin bed under a mirror.
140636_mscoco_2,A bird standing next to another bird with a fish in its mouth.
172315_mscoco_3,A man on his cell phone at a shop's window
44022_mscoco_0,a brown and white cat hanging of of a bed
238989_mscoco_4,"A still photo of a lemon, banana and a melon."
356002_mscoco_2,A surfer is riding on a wave in the sunshine.
253362_mscoco_3,A hand is reaching out to a brown and white cow's nose.
166037_mscoco_2,A cat with piercing green eyes resting upon a pair of shoes.
97006_mscoco_0,A woman in a dress is standing on a gravel road holding a suitcase.
264461_mscoco_1,A squat toilet and a Western toilet are next to each other.
136785_mscoco_3,Woman eating hero type sandwich from food truck.
204930_mscoco_0,A giraffe standing by itself in the sand.
306404_mscoco_1,A bathroom sink with a mirror and modern towel holder.
63381_mscoco_2,Food that goes into a zebra eventually has to come out of the zebra.
37783_mscoco_1,A young boy is trying to skateboard on the sidewalk.
80659_mscoco_0,Horses and their riders are racing in a horse race.
490624_mscoco_0,An old fashioned television and a newer electronic gadget sitting on top.
328530_mscoco_4,A wooden rolling pin on a table nears some pizza topped with eggs.
576031_mscoco_3,a woman attempting to ski on a flat hill
546210_mscoco_4,a man sleeping on couch with a blanket with a cat sleeping on top of him
13432_mscoco_2,a bunch of used sinks lined up along a brick wall
133476_mscoco_1,There is a sandwich on a plate next to a glass of dark liquid.
527887_mscoco_2,a woman talking on a cell phone while holding a starbucks drink in the other hand
349697_mscoco_3,Two women in wet suits paddle while standing on surfboards.
382683_mscoco_2,A women and two children on a small boat.
64240_mscoco_1,Four people on motorcycles are riding next to each other.
94317_mscoco_4,a cupboard with many plates and books on a wall
581183_mscoco_2,"Seven circus elephants, on their hind legs, leaning on each other, with a standing elephant in the middle of the line."
90476_mscoco_4,A group of boats in the sandy area of a beach.
439427_mscoco_0,a snow boarder ramping a small snow mound
147425_mscoco_1,A gray stripped cat standing on a blue rug.
468777_mscoco_4,A bright green frog on a bright green plant.
505040_mscoco_3,A train that is riding near the dirt.
368204_mscoco_3,A man holding a tennis racquet while standing on a tennis court.
188873_mscoco_0,A man squatting in front of a garbage can while another watches.
106392_mscoco_1,A kitchen filled with appliances and a washer.
263346_mscoco_3,A big jet sitting alone on a runway.
484587_mscoco_0,A small bathroom has a toilet and litter box.
56002_mscoco_2,The man is standing in the messy room.
227438_mscoco_3,Bedroom with large bed and a great view.
311531_mscoco_3,An orange cat walking into a wink on a bathroom counter.
152208_mscoco_2,A park bench with an umbrella in front of mountains.
174072_mscoco_3,An adult holding a baby that is brushing their teeth.
65993_mscoco_0,A sandwich on a bun with a pickle on the side.
143792_mscoco_1,A dog is laying in the grass by a frisbee.
127971_mscoco_4,a fire brigade lorry splashing water to the fire
77050_mscoco_2,A person peeling a carrot in a kitchen.
42534_mscoco_4,A zebra's face showing the graphic quality of its markings
52700_mscoco_4,Group of people standing along a long table with plates of cake on it.
176275_mscoco_4,A bathroom that has a sink and a small mirror above it.
578974_mscoco_1,A woman leans slightly in front of an oven with food inside.
60641_mscoco_2,Four boxes of pizza are opened and eaten.
83836_mscoco_4,A man with a pony tail stands in a kitchen holding a drink.
442968_mscoco_0,A white bird sitting inside of a pond surrounded by greens.
437859_mscoco_4,Those cars are all parked along the curb.
66685_mscoco_2,A beach with two surf boards sitting on it.
60687_mscoco_1,A cow with halo hair is laying in a pasture.
572347_mscoco_4,An elephant touching a woman on the head with its trunk.
390826_mscoco_2,The panda bear likes to walk in the grass.
351463_mscoco_0,A man that is carrying a baseball bat.
415238_mscoco_2,A painting that shows a vase with flowers and a table.
455157_mscoco_4,A man sitting at a wooden bench and table with an open umbrella sitting on the table.
245965_mscoco_1,a big blue umbrella out in front of a field
272188_mscoco_1,A group of zebras are standing on a grassy area.
30607_mscoco_2,a cat sitting on a bed covered with pillows
155179_mscoco_2,A large round cake is sitting on a plate.
368565_mscoco_3,Two young girls with Winnie the Pooh birthday hats sit on chair
248007_mscoco_0,A man riding a surfboard on top of a wave.
377393_mscoco_4,a clock on a small tower near a building
142815_mscoco_0,A man laying in bed next to another man holding a camera.
113159_mscoco_1,A woman playing tennis is scratching her butt.
343552_mscoco_4,A white cat lays with his head next to a mouse.
368088_mscoco_1,A herd of horses standing on top of a sandy beach.
493235_mscoco_0,A kitchen with lots of black counter top space.
481670_mscoco_1,Two children that are skiing down a hill in the snow.
399626_mscoco_2,A snow skier high up in the air doing a trick.
105455_mscoco_4,A large painted clock tower in the middle of town
217133_mscoco_1,The surf board sits on the roof of a hot rod truck.
327070_mscoco_0,A blue bus driving down a curvy street.
250282_mscoco_4,A picture of a lot of girls and boys in front of a building.
463084_mscoco_2,White and blue buses parked on the side of the city road to let passengers in.
497664_mscoco_0,A white and blue bus sitting on the side of tall buildings.
214574_mscoco_2,A herd of giraffe standing next to a watering hole on a grassy field.
276192_mscoco_4,a close up of a pizza on a pan on a table
288062_mscoco_4,a toilet with an unusual green seat and back
120810_mscoco_1,The display of products for sale at a motorcycle shop.
413959_mscoco_4,A very big pretty horse pulling a fancy carriage.
8204_mscoco_1,A bunch of vehicles in an Asian city.
43170_mscoco_3,A man that is standing up in front of a microphone.
256180_mscoco_3,A living room is shown with a crowded bookshelf.
115182_mscoco_3,three zebras walking side by side in a zoo pen
349559_mscoco_0,A man is sitting down on a skateboard
531092_mscoco_2,A sandwich with pickles set on a plate.
284292_mscoco_4,A purple swamphen with a red crest on its head walks on the ground.
344561_mscoco_3,"A two sinks with a mirror above, in a public restroom."
185789_mscoco_2,A very bright colored train near a big building.
243316_mscoco_3,A sheep standing and looking straight ahead in a grassy field.
436791_mscoco_1,A man talking on a phone with a shaved head.
253415_mscoco_4,An American commuter train crossing a city bridge
380913_mscoco_1,A group of people using their telephones on a subway car.
488387_mscoco_4,A cat sits on the seat of a motorized scooter.
64909_mscoco_0,A young man wears a fake mustache in a kitchen decorated for the New Orleans Saints.
152771_mscoco_4,A bicycle stands in the middle of an empty parking lot.
167572_mscoco_4,"A person sits at a table in front of a sandwich on dark bread, a salad and cucumbers."
260409_mscoco_3,A person posing next to their motorcycle by the shore.
544638_mscoco_2,A group of boats inside a harbor with old buildings behind them.
39860_mscoco_4,A young man in a green outfit ridding a surfboard.
459303_mscoco_0,This is a train on the track with people ready to board
84498_mscoco_0,A man in a wetsuit is holding a surfboard on a dirt path.
452084_mscoco_2,a couple of bowls with some food in it and a fork
172710_mscoco_3,A girl on a motorcycle holding a DSW bag and kissing a guy who is driving the bike.
515579_mscoco_2,A man throwing a ball while smiling and on a field.
242368_mscoco_3,A collection of green vegetables sits on a table.
287469_mscoco_2,People dressed in zombie costume are gathered on a paved area.
449488_mscoco_2,A man in a suit an d tie and a flower pin
570528_mscoco_1,A cat sitting in a bowl on a table looking at the camera.
525371_mscoco_3,A building with a airplane flying high up above it in the air.
53015_mscoco_2,A man eating some pizza while holding a young child.
3382_mscoco_1,Group of sailors in command center with one talking on walkie talkie.
455464_mscoco_1,A man talking on the phone in front of a building.
57286_mscoco_3,A boy on a skateboard slides down a skating ramp.
280073_mscoco_0,A rider on a horse in a green field.
306437_mscoco_3,A skateboarder tips his board up against the base of a sculpture.
166096_mscoco_3,A tall skyscraper and a black clock tower.
207178_mscoco_4,Man and young boy posing for photo during ski outing.
226917_mscoco_2,A baby with legs on the couch
474906_mscoco_1,Two vehicles are stopped at a traffic light that is red.
299533_mscoco_4,two ponies and a calf enjoying the weather
199125_mscoco_3,People on rustic boats loading and unloading produce.
96514_mscoco_2,The black and white bird stands in shallow water.
335103_mscoco_0,A man wearing a stripped shirt with a stripped tie.
227413_mscoco_2,Two pumpkins outside of a brick building
103163_mscoco_0,A man riding on the back of a motorcycle next to a muscle man.
413124_mscoco_2,the boy prepares to catch a baseball in his baseball game
215778_mscoco_4,"A Dell laptop on a desk is surrounded by cords, books, and papers."
135756_mscoco_4,A little girl touching the horses nose.
535770_mscoco_2,A woman sits with a computer in her lap.
531797_mscoco_0,The back view of white iPhone mobile phone.
577552_mscoco_3,a close up of a stove with two pots
16716_mscoco_0,A herd of zebra standing next to each other in a field.
195697_mscoco_4,a young male snowboarding down a snowy hill near evergreen trees
260305_mscoco_3,a number of zebras in a field near bushes
119965_mscoco_2,Window display of a suit and sewing machine.
63953_mscoco_0,Young teenage boy on his skateboard on the street with people on the curb.
564091_mscoco_3,woman talking on cell phone while doing arts and crafts.
533811_mscoco_4,A striped tie with the shirt collar unbuttoned
274438_mscoco_2,A man is flying a kite at a beach.
90208_mscoco_1,Three double decked buses are parked on pavement.
143068_mscoco_3,A kite flies over flags posted on a windy beach.
352480_mscoco_2,"A grouping of a watering can, potted plant, vase with flowers, a decanter and a crystal bowl on a table."
445048_mscoco_3,A person on some skis in the snow.
316237_mscoco_4,A girl talking on a cell phone in front of a bunch of flyers.
563696_mscoco_4,Someones hands on their laptop with images on the screen.
295134_mscoco_2,"A den with some chairs, a couch and a television."
196815_mscoco_1,a group of people playing games in a room
444444_mscoco_3,A woman is feeding a horse at a ranch.
